Tissue
cerebral cortex
pituitary gland
amygdala
choroid plexus
basal ganglia
cerebellum
hypothalamus
hippocampal formation
medulla oblongata
thalamus
thalamus
midbrain
pons
white matter
Brodmann__1909__area_24
Brodmann__1909__area_9
caudate_nucleus
cerebellar_hemisphere
cerebral_cortex
frontal_lobe
hippocampus_proper
nucleus_accumbens
pituitary_gland
prefrontal_cortex
putamen
substantia_nigra
temporal_lobe
