Gene.name;AIREdep
Ahcyl2;no
Fam32a;no
Sema4a;no
Spns1;no
Trim5;no
Melk;no
Pyurf;no
Pkp3;no
Chmp6;no
Golim4;no
Cpe;no
Ccdc106;no
Arsi;no
Lrp10;no
Nsmf;no
Phox2a;no
Cox6a2;no
Sorcs2;no
Wsb1;no
Tnnt2;no
Eif2ak3;no
Otub2;no
Papss1;no
Ccdc160;no
Ppl;no
Slc25a39;no
Rcor2;no
Tgfa;no
Ttbk2;no
Gnpda1;no
Apip;no
Gale;no
Rhox13;no
Pgr;no
1700030J22Rik;no
Tm2d3;no
Gcsh;no
Cxcr4;no
Ccdc125;no
Ada;no
Prkar1b;no
Ric8b;no
Flt4;no
Siah2;no
Tbx5;no
Kbtbd12;no
Bcl2l11;no
Lrr1;no
Enpp2;no
Gm12169;no
Osgin2;no
Thsd1;no
Ap5s1;no
Isca1;no
Chmp2a;no
Klhl10;no
Arhgap35;no
Hpn;no
Ctnnb1;no
Zfp523;no
Immp2l;no
Lyrm4;no
Nol6;no
Snapc5;no
Pkp1;no
Pde12;no
Dtd1;no
Adamts19;no
Elof1;no
Dtwd2;no
Echdc3;no
Dab2ip;no
Gmppb;no
Cmpk1;no
4921539E11Rik;no
Smdt1;no
Zdhhc15;no
Baiap2;no
Mrpl27;no
Akr1a1;no
Tle4;no
Ccr2;no
Dusp23;no
Mgmt;no
Pthlh;no
Cenpa;no
Amigo1;no
Bpnt1;no
Uchl3;no
Smim14;no
Wdr25;no
Slc1a4;no
Cd160;no
Gm43738;no
Fam20c;no
Hip1r;no
Snai1;no
Ptges2;no
Kcna1;no
Cox19;no
Dynlt3;no
Heatr9;no
C8g;no
Fam102a;no
Emp3;no
Paip2b;no
Gata6;no
Anks6;no
Ngfr;no
Tm9sf4;no
Slc16a8;no
Sowahb;no
Epb41;no
Gal3st4;no
Mob2;no
Mblac2;no
Pdk2;no
Nadk2;no
Cdc42bpg;no
Faim;no
Oscp1;no
Krtcap3;no
Mea1;no
Tpbg;no
Nab2;no
Cox6b1;no
Slfn2;no
Tmem72;no
Gng10;no
Pifo;no
Art4;no
Cdca5;no
Abca3;no
Evi5l;no
Neu1;no
Osmr;no
Tram2;no
Ptpdc1;no
Rasd2;no
Hcfc1r1;no
Crat;no
Naa20;no
Fgd2;no
Scn11a;no
Gnb1l;no
Nkd2;no
Cd99l2;no
Lrp11;no
1810037I17Rik;no
Actl9;no
Yipf6;no
Larp1b;no
Oxct2b;no
Dusp12;no
Sun2;no
Sdhc;no
Ccdc12;no
Dhrs3;no
Mex3b;no
Camkk2;no
Ckap2;no
Ocrl;no
Gnal;no
Mapk6;no
Dcx;no
Cyb5b;no
Casp8;no
Glud1;no
Ddit3;no
Sft2d1;no
Slc44a1;no
Cblc;no
Dxo;no
Gpr75;no
Gpld1;no
Xpnpep1;no
Hap1;no
Sparc;no
Tfap2a;no
Bola1;no
Mctp1;no
Gulp1;no
Mrpl36;no
Tmem41b;no
Slco3a1;no
Tmem135;no
Ccdc18;no
Fut10;no
Irf2bpl;no
Cpne7;no
Mdm1;no
Tnfsf13b;no
Tmem50a;no
Ctxn1;no
Peli1;no
Dcun1d3;no
Cit;no
Cc2d1a;no
Gtf2b;no
Elovl5;no
Cbln3;no
Map2k4;no
Man2b2;no
Lrch2;no
Ets1;no
Fam118b;no
Arhgdig;no
Hoxc11;no
Parl;no
Prss23;no
Zfp827;no
Gbp8;no
Bscl2;no
Mob4;no
Hsdl2;no
Gtpbp8;no
Fam227a;no
Kctd5;no
Shpk;no
Map1lc3a;no
Ehd2;no
Scin;no
Nxt1;no
Laptm4a;no
Ccnyl1;no
Wdr89;no
Naprt;no
Slc19a2;no
Tmem251;no
Acaa1b;no
Tas2r107;no
Spag4;no
Gnai3;no
Stk38;no
Serpinb9;no
Cyb5rl;no
Adam33;no
Atp6ap2;no
S100a11;no
Cox7a2;no
Clpx;no
Cisd1;no
Grip1;no
Sertad1;no
Itgav;no
Tyw3;no
Ccnd3;no
Gm12169;no
Nfatc1;no
Dcp1b;no
Tgif1;no
Ndufs8;no
Zfp428;no
Pi4k2b;no
Gpr152;no
A130010J15Rik;no
Stk38l;no
Mob1b;no
Eid1;no
Map3k12;no
Sntg2;no
Pgrmc1;no
Rarg;no
Lta4h;no
Msantd1;no
D5Ertd579e;no
Pld2;no
Sergef;no
Myl6;no
Tdrd6;no
Isoc2b;no
Dnaja4;no
Tmem208;no
Dolk;no
Gdpd4;no
Srms;no
Tap1;no
Csrnp1;no
Bak1;no
Dohh;no
Fam184b;no
AB124611;no
Nkiras1;no
Nfil3;no
Epas1;no
Serinc2;no
Pcdhb4;no
Mpped2;no
Ednra;no
Tsg101;no
Cadm4;no
Nuak2;no
Ubald1;no
Wwp2;no
Isl1;no
Plagl1;no
Commd4;no
Usb1;no
Mylk2;no
Fam204a;no
Cd244a;no
Atp6v0a2;no
Smad4;no
Mterf4;no
Ier2;no
Gng7;no
Trim13;no
Lamtor4;no
Atp1b3;no
Dnmt3b;no
Dph1;no
2210016F16Rik;no
Ykt6;no
Tmbim1;no
Gfi1;no
Cd9;no
Als2;no
Phf6;no
Smyd5;no
Gimap7;no
Abhd4;no
Timm8a2;no
Pgd;no
Sidt2;no
Armcx2;no
R3hcc1;no
Calcoco1;no
Hadh;no
Hpse2;no
Timm8a2;no
Abhd2;no
Gsto2;no
Taf9b;no
Gab1;no
Thegl;no
Olfr1032;no
Bdh1;no
Slc35c1;no
Proser2;no
Tmem222;no
Apol7a;no
Atp6ap1;no
Zdhhc20;no
Ormdl3;no
Ptbp3;no
Chchd4;no
Atp10a;no
Tas2r115;no
Rps27;no
Wdtc1;no
Blmh;no
Drd1;no
Cirbp;no
Plcg2;no
Ndufa6;no
Mrpl43;no
Mitd1;no
Cnga2;no
Rps6ka4;no
Zdhhc3;no
Ccdc61;no
Arf6;no
Rdh13;no
Fam185a;no
Tmem115;no
Ssr2;no
Chst7;no
Ndufv3;no
Fgf16;no
Lrrc57;no
Lamtor2;no
Ankrd42;no
Ninj2;no
Xk;no
Ube2f;no
Mier2;no
A4gnt;no
Glt1d1;no
Sec22a;no
Smpdl3b;no
Napb;no
Tollip;no
Cox14;no
Rarb;no
Lmod1;no
Tmem80;no
Hprt;no
Max;no
Sptbn4;no
Hint3;no
Anpep;no
Gipc1;no
Tor3a;no
Elovl7;no
Ulk1;no
Fancc;no
Pcdhb4;no
Unc119;no
Hey2;no
Abcb8;no
Nsf;no
Hlf;no
Cox6b2;no
D8Ertd738e;no
Prom2;no
Tusc1;no
Rassf6;no
Comtd1;no
Acot8;no
Abcd4;no
Wipi2;no
Arhgef19;no
Sct;no
Btbd9;no
Trmt11;no
Abcd3;no
Rimbp3;no
Ssr4;no
Ano8;no
Med6;no
Rnf13;no
Hdac7;no
Tmem164;no
Fgf1;no
Setd6;no
Nudt22;no
Gcdh;no
Fmo5;no
Rcn2;no
Slc35a5;no
Bcar1;no
Arhgap19;no
Ccdc43;no
Pbk;no
Mfn2;no
Cldnd1;no
Pomp;no
Ube2h;no
Gpr137;no
Plcg1;no
Csmd2;no
Ssh3;no
Slc26a6;no
Mpdu1;no
Zswim1;no
Pdha1;no
Btd;no
Nipa2;no
Kdm5b;no
Pard6b;no
Map3k9;no
Clca2;no
Fancf;no
Ost4;no
Cobl;no
Dusp1;no
Lgmn;no
Impdh1;no
Lif;no
Dgka;no
2300009A05Rik;no
Gsn;no
Rnase2b;no
Nod1;no
Cep76;no
Arhgap31;no
Polr2d;no
Rab28;no
Pfdn2;no
Gm1673;no
Cfl2;no
Slc2a4;no
Slc12a9;no
Wwc2;no
Lhfpl2;no
Cdh1;no
Il6;no
Nfs1;no
Ndufb6;no
Pdzd7;no
Itpr1;no
Tube1;no
Ptpn6;no
Tatdn1;no
Vat1;no
Tmem87a;no
Cdk17;no
Mlx;no
Gm45799;no
Acad8;no
Mrps11;no
Ext1;no
Hmga1b;no
Aoc1;no
Ostn;no
Alpk3;no
Fbxw9;no
Prrg2;no
Ifng;no
Aldh3a2;no
Eif4g3;no
Mrpl12;no
Lamb3;no
Fkbp9;no
Mrpl20;no
Ankle1;no
Igsf8;no
Cdk18;no
Fbf1;no
Rhog;no
Dera;no
Dad1;no
Mr1;no
Nr1d1;no
Elp5;no
Zfand2b;no
Prkce;no
Inha;no
Pecr;no
Mfsd8;no
Crb3;no
Dll1;no
Rbbp7;no
Stk36;no
Irgq;no
Igsf9;no
Capns1;no
Zfp385b;no
Lmbr1;no
Ankrd50;no
Bcas3;no
Thop1;no
Nudt18;no
Plcxd3;no
Ankrd34a;no
Pls1;no
Obsl1;no
G6pdx;no
Tap2;no
Bckdk;no
Acadl;no
Spa17;no
Cox20;no
Pnpla6;no
Anxa3;no
Cbx6;no
Paqr9;no
Kif19a;no
Chmp1a;no
Txndc12;no
Gpsm1;no
Zfp454;no
Ppard;no
Mboat7;no
Crym;no
Ptpn12;no
Fermt3;no
Dmrta2;no
Mdfi;no
Ei24;no
Dip2c;no
Ucp2;no
Cttn;no
Lrriq1;no
Lrrc8a;no
Syce2;no
Mien1;no
Rsad1;no
Nhp2;no
Ak3;no
Cox5b-ps;no
Cbx4;no
Pigp;no
Enkd1;no
Tmem160;no
Idh2;no
Adi1;no
Cenph;no
Farp1;no
Denr;no
Ankrd16;no
Sap30l;no
Ctnnd1;no
Otud3;no
Dlx5;no
Klhdc10;no
Dok5;no
Tas2r121;no
Ints10;no
Aldh6a1;no
Serpina3a;no
Rnf185;no
Slc11a2;no
Trib2;no
Ndufa1;no
Ube2e1;no
Ppp1r37;no
Brk1;no
Efna1;no
Plekhh3;no
Slc37a1;no
Gpr155;no
Sh3bgrl2;no
Cul7;no
Rps23;no
Gbp2b;no
Dhtkd1;no
Slc16a7;no
Pnkd;no
5730480H06Rik;no
Paox;no
Gpr161;no
Lax1;no
Cdyl;no
Gfod2;no
Spcs1;no
Cuta;no
Itgal;no
Rag2;no
Hsph1;no
Coro1a;no
Tmem91;no
Ppp1r16a;no
Pcyt1b;no
Capn10;no
Gng2;no
Isoc1;no
Impa1;no
Alg9;no
Ripply3;no
Kif15;no
Gcnt7;no
Pet100;no
Pcdhb5;no
Fut9;no
Uqcrfs1;no
Fos;no
Bsg;no
Hyal3;no
Mc3r;no
Dock8;no
Pole3;no
Yod1;no
Rnf139;no
Zic1;no
Clstn1;no
Amacr;no
1700123O20Rik;no
Marcksl1;no
Xylt2;no
Aga;no
Magix;no
Coch;no
Cebpzos;no
Dse;no
Ddr1;no
Ppp1r12b;no
Tmem256;no
Zkscan6;no
Cep131;no
Golph3l;no
Ogdh;no
Kif22;no
Cacnb3;no
Sgms1;no
Fmr1;no
Rtn4rl2;no
Pdcl3;no
Tmem106c;no
Ppp2r3a;no
Galm;no
Atg10;no
Tcirg1;no
Kctd7;no
Mrps24;no
Marveld3;no
Itpr3;no
Ppp2r5b;no
Bcl2a1d;no
Chchd3;no
Zmym3;no
Sin3b;no
Rab23;no
Gm21983;no
Cacnb1;no
Rnf130;no
Polr2i;no
Arpc2;no
Arl6ip1;no
Tenm4;no
Rps27l;no
Snrpf;no
Gm50364;no
Mcc;no
Nr1d2;no
Srf;no
Rell2;no
Atp6v0e;no
Mrpl53;no
Urm1;no
Pnpo;no
Hlcs;no
Arap2;no
Angpt1;no
Nkiras2;no
Gcsam;no
Ccr4;no
Srebf1;no
Abhd8;no
Cabyr;no
Rai14;no
Polr1d;no
Bzw1;no
Exosc7;no
Fibp;no
Alg5;no
Tmem190;no
Ndc1;no
Ppp2ca;no
Gprin1;no
Isoc2b;no
Rnf217;no
Fbn2;no
Tm9sf2;no
Sh3d19;no
Fam229b;no
Tprgl;no
Lypd1;no
Trim68;no
P2ry4;no
Csf2rb2;no
Nipal3;no
Gli2;no
Sdhb;no
Vps29;no
Romo1;no
Fam178b;no
Hace1;no
Espl1;no
Robo2;no
Rad52;no
Dyrk3;no
Jtb;no
Ap1s1;no
Slc35c2;no
Serpinb9;no
Ckap4;no
Rdh14;no
Gm21981;no
Vps25;no
Ndufa8;no
Rab33b;no
Ell;no
Mrpl55;no
Asb2;no
Ralbp1;no
Swi5;no
Serp1;no
Mrps12;no
Nudt13;no
Grm7;no
Tesk2;no
Krt7;no
1110038F14Rik;no
Zcchc2;no
Psmb9;no
Afap1l2;no
C1d;no
Acly;no
Aph1b;no
Tnfaip8l1;no
Mrpl32;no
Rpp40;no
Dctn6;no
Ctsc;no
Pdhb;no
Ccdc171;no
Sdk1;no
Txnip;no
Nckap5;no
Vdac2;no
Lypla2;no
Enc1;no
Colca2;no
Sox7;no
Wrap53;no
Dtx3l;no
Ampd2;no
Cd151;no
Akap3;no
Pou6f1;no
Dpp4;no
Paqr4;no
Stat2;no
Extl1;no
Enox1;no
Vegfa;no
Rab18;no
Spg7;no
Depdc1b;no
Nmnat2;no
Arl5c;no
Lclat1;no
Proz;no
Slc35b3;no
Fam174a;no
Atp6v1f;no
Sucla2;no
Mtr;no
Anln;no
Gramd1c;no
Gtf2f1;no
Srxn1;no
Tmem184a;no
Tssc4;no
Slc38a7;no
Epsti1;no
Cdk20;no
Polr2k;no
Polr2h;no
Sigirr;no
Mrm1;no
Ntan1;no
Rars2;no
Col1a1;no
Timm13;no
Masp1;no
Ptp4a3;no
C2cd5;no
Fis1;no
Edar;no
Cox11;no
Tep1;no
Pde7a;no
Pim3;no
Glyctk;no
Fat4;no
P4hb;no
Prkg2;no
Fgfr1;no
Gls;no
1700001P01Rik;no
Slc35a4;no
Lig3;no
Mast2;no
Fam83h;no
Sqle;no
Zic4;no
Slc48a1;no
Cd300a;no
Pdgfrb;no
Anks4b;no
Bzw2;no
L3mbtl3;no
Hcn1;no
Map2;no
Cpox;no
Bod1;no
Akirin2;no
Polr2f;no
Pigc;no
Phtf2;no
Rhoj;no
Stambpl1;no
Olfr110;no
Nme6;no
Tapt1;no
Ap2a2;no
Mmp21;no
Homer3;no
Rnf32;no
Clec3b;no
Mad1l1;no
Foxp1;no
Tpte;no
Prim1;no
Tra2a;no
Pdcd10;no
Pkp4;no
Ssu72;no
Cdca2;no
Ror2;no
Mtmr10;no
E430018J23Rik;no
Fetub;no
Nuf2;no
Clta;no
Rmdn2;no
Lypla1;no
Rwdd2b;no
Zmym4;no
Spryd3;no
Bola3;no
Ccna2;no
Thbs4;no
Mapk12;no
Mpdz;no
Meis3;no
Gemin6;no
Slc39a11;no
Dpp7;no
Eno1b;no
Ifna15;no
Slc35a3;no
Rheb;no
Timm22;no
Tmprss2;no
St7l;no
Micu3;no
Oxa1l;no
2310039H08Rik;no
Fam180a;no
Vwa3a;no
Mx1;no
Rbms2;no
Galns;no
Pdgfc;no
Spryd7;no
Acp6;no
Cyp7b1;no
Cenpp;no
Fh1;no
Slc25a23;no
Rims2;no
Foxo4;no
Pxmp2;no
Ccdc120;no
Tssk6;no
Cp;no
Ankrd39;no
Itsn1;no
Tmem50b;no
Tgoln1;no
Zfp711;no
Def6;no
Ccpg1os;no
Psph;no
Dhx58;no
Spsb2;no
Prrt1;no
Pdhx;no
Trim47;no
Kif5c;no
Wdpcp;no
Fbxl4;no
Slc16a2;no
Sla;no
Kdelr2;no
Pacrg;no
Pttg1;no
Cep170b;no
Ccdc9;no
Hsd17b4;no
Arhgap25;no
Stk19;no
Ghsr;no
Slc6a9;no
Slc25a1;no
Pyroxd1;no
Irs1;no
Fst;no
Cd2ap;no
Extl2;no
Ccne1;no
Trpm4;no
Rad51ap1;no
Ggh;no
Hsd17b12;no
Cdk5;no
Nudt2;no
Srp9;no
Dhrs1;no
Sox11;no
Acox3;no
Ttc39b;no
Smim20;no
Cd53;no
Dnajc15;no
Crtc1;no
Tmeff2;no
Emc7;no
Hyi;no
Cyp17a1;no
Mrpl34;no
Rexo2;no
Elmo3;no
2900026A02Rik;no
Map3k11;no
Kif14;no
Spef1;no
Cops6;no
Urod;no
Tmem176a;no
Rnf5;no
Ube2b;no
Frmd8;no
Mrap2;no
Thumpd2;no
BC016579;no
Bcap31;no
Kctd9;no
Idnk;no
Taf5l;no
Heca;no
Ndufb8;no
Cmklr1;no
Mcm10;no
Creb3;no
Trafd1;no
Olfr1202;no
Zmat2;no
Cnep1r1;no
Dna2;no
Krt17;no
Nptn;no
Ptrh2;no
Cenpn;no
D17H6S53E;no
Smug1;no
Ica1;no
Aco2;no
Suclg1;no
Kctd1;no
Chfr;no
Man1c1;no
Fbxo27;no
Timm10;no
Ormdl2;no
Tmod3;no
Pkd1l3;no
Rpp21;no
Pex3;no
Thap7;no
Cybrd1;no
Uvrag;no
Morf4l2;no
1700037C18Rik;no
Tbc1d2;no
Lpin3;no
Nxpe2;no
Wdr20;no
Lamtor5;no
B4galt6;no
Klhl13;no
Magee1;no
Slc25a20;no
Sod1;no
Srp14;no
Dnajc18;no
Slc39a9;no
3110040N11Rik;no
Efnb1;no
Zfp672;no
Furin;no
Gorab;no
Pithd1;no
Ftmt;no
Rab8a;no
Rassf1;no
Bag4;no
Imp3;no
Rbm3;no
Pdxdc1;no
Cab39;no
Nedd8;no
Prrg3;no
Zfp330;no
Itgbl1;no
Ostm1;no
Ppp1r42;no
Rabl2;no
Sap30;no
Hey1;no
Ap1b1;no
Tor4a;no
Alg3;no
Ift81;no
Ogg1;no
Zfp78;no
Tmem185a;no
Slc30a5;no
Rtca;no
Gm5617;no
Tmem51;no
Prrc1;no
Slc18b1;no
Myh10;no
Tyw5;no
Gpr139;no
Ndc80;no
Amn;no
Pid1;no
Erp29;no
Dpm3;no
Alkbh6;no
Ift74;no
Vegfc;no
Cyhr1;no
Tmtc4;no
Yif1a;no
Spata7;no
Pank2;no
Samd10;no
Chmp1b;no
Cldn6;no
Ndufs1;no
Prrg4;no
Commd3;no
Tmem120a;no
Cd46;no
Sec23b;no
Casp3;no
1700102P08Rik;no
Exph5;no
Gla;no
Snrnp35;no
Tspan17;no
Usp3;no
Gimap1;no
Cmtm4;no
Tas2r115;no
Cep89;no
Rpgrip1l;no
Rnpepl1;no
Fchsd1;no
Pip4k2c;no
Disp1;no
Uhrf1bp1l;no
Sesn2;no
Spdl1;no
Dgcr6;no
Rpl36al;no
Cyc1;no
Tymp;no
Vps41;no
Tmem191c;no
Tusc3;no
Stk16;no
Topors;no
Rfx3;no
Scoc;no
Cmtr1;no
Ikzf2;no
Zfp692;no
Rtn2;no
Med8;no
Ipo13;no
Gm4737;no
Rnf8;no
Rnf34;no
Naaa;no
Unc119b;no
Oxnad1;no
B9d1;no
Foxq1;no
Esrrg;no
Lbr;no
4833439L19Rik;no
4930404N11Rik;no
Ergic3;no
Smad6;no
Pus7l;no
Tfdp2;no
Chek2;no
Pawr;no
Mdh2;no
Rhbdd3;no
Hif3a;no
Rab19;no
Slc52a2;no
Hpgds;no
Dclre1c;no
Lrrc40;no
Mapk11;no
Man1a2;no
Ccnl1;no
Brms1;no
Grhl3;no
Sgsm2;no
Crlf2;no
Clic1;no
Rabepk;no
Ccdc124;no
Uqcrc1;no
1700037H04Rik;no
Hsd11b1;no
Slit3;no
Caskin2;no
Tpra1;no
Snx15;no
Rgs9bp;no
Fabp4;no
Actn4;no
Wdr45;no
Sdhd;no
Mmadhc;no
Cdc42bpa;no
Lage3;no
Klhdc3;no
Gm10053;no
Tmub1;no
Btbd1;no
Mib2;no
Tet3;no
Mzt1;no
Hsbp1;no
Zfp750;no
Ndufb10;no
Tmem147;no
Ptch1;no
Cby1;no
Pot1b;no
Rgs14;no
Nckap1;no
Samhd1;no
Hypk;no
Mrpl57;no
Ugp2;no
Ciapin1;no
Ndufaf3;no
Tmem88b;no
Stc1;no
Twsg1;no
Rab1b;no
4930503L19Rik;no
Cfap36;no
Cdyl2;no
Usp2;no
Csf2rb2;no
Abhd10;no
Prr15;no
Tpcn2;no
Sra1;no
Tmem33;no
Srpk2;no
BC048507;no
Pard6g;no
Arl16;no
Slirp;no
Fam53a;no
Il22;no
Glul;no
Lrrc39;no
Klf11;no
Mkks;no
Txndc17;no
Oaz2;no
Bcl2l13;no
Mtch1;no
Spem1;no
Rgs1;no
Duoxa1;no
Elmod3;no
Aurkaip1;no
Rassf5;no
Capn1;no
Uchl3;no
Triap1;no
Sema3f;no
Pecam1;no
Mrs2;no
Cpq;no
Ranbp17;no
Lin9;no
Klc4;no
Tbca;no
Atxn7l3;no
Pcdh17;no
Scd2;no
Kbtbd8;no
Map1a;no
Tmem29;no
Polr2g;no
Slc25a43;no
Spag6l;no
Miip;no
Inpp5k;no
Disc1;no
Col18a1;no
Ivns1abp;no
Zfp655;no
Cetn2;no
Cyp4f17;no
Kdsr;no
Trub2;no
Cdca8;no
Pgap3;no
Stx17;no
Tmem39a;no
Mgat2;no
Sobp;no
Alg14;no
Vps9d1;no
Tbc1d19;no
Fam151b;no
Acad12;no
Mtfmt;no
Smyd4;no
Ppp4r1;no
Tsen2;no
Tmx1;no
Jmjd8;no
Tox3;no
Gclm;no
Pcdhb4;no
Plxna1;no
Rhobtb3;no
Cacng4;no
Rnf169;no
Grpel1;no
Zfp112;no
Klhl36;no
4930579G24Rik;no
Mxd4;no
Midn;no
Emilin3;no
Lnx1;no
Lrpap1;no
Angptl4;no
Caml;no
Atp11b;no
Btg3;no
Ddx51;no
Cox5a;no
Arhgap4;no
Yipf5;no
Glrx5;no
Pcyt2;no
Kcnu1;no
Nars2;no
Chid1;no
Mst1;no
Dpm2;no
Ndufs7;no
Wasf3;no
Ubl5b;no
Tor1a;no
Fam163b;no
Osbpl2;no
Ankrd13b;no
Sf3b6;no
Gm45785;no
Chrm4;no
Cers2;no
Bphl;no
Rabgef1;no
Rabif;no
Slc45a4;no
Ndufb3;no
Mtch2;no
Nfatc4;no
Spice1;no
Mrps35;no
Fastkd3;no
Thoc7;no
Sdf2;no
Map2k3;no
Ehbp1;no
Dr1;no
Scfd2;no
Sec22c;no
Pphln1;no
Tmem38b;no
Mrpl51;no
Cisd3;no
Pomt2;no
Arhgap12;no
Tmem128;no
Dlgap4;no
Dpagt1;no
Arpc1a;no
Slc12a7;no
Dcaf12;no
Ttc28;no
Slc25a30;no
Mpv17;no
Sumf1;no
Wee1;no
Gm7075;no
Suco;no
Cend1;no
Prkar2a;no
Tuba1a;no
Tcta;no
Gpr108;no
Rmdn3;no
Ptbp2;no
Mapre2;no
Mrps21;no
Pex5;no
Fosb;no
Rcan3;no
Tasp1;no
E2f6;no
Calm1;no
Nifk;no
Itgb8;no
Lrrfip2;no
Itpkb;no
Cluh;no
Prkag1;no
Golga7;no
Rer1;no
Gm20518;no
Tgfbr2;no
Nit1;no
Chchd2;no
Atp6v0d1;no
Skp2;no
Pomgnt1;no
Ubl7;no
Cage1;no
Ndufs4;no
Usp43;no
Rps13;no
Ildr1;no
Zdhhc12;no
Snrnp35;no
2900092C05Rik;no
Jkamp;no
4932411N23Rik;no
Fam205a4;no
Actrt1;no
Apoo;no
B2m;no
Ccl21d;no
Ccl21d;no
Gm13306;no
Cd300a;no
Cd74;no
Cep85;no
Cmss1;no
Cnbd2;no
Ddx19b;no
Defb13;no
Rnase2b;no
Eef1a1;no
Eef2;no
Filip1l;no
Olfr715b;no
Sap18;no
Ccl21d;no
Hsd3b9;no
Fam205a4;no
Ccl21d;no
Il11ra1;no
Gm13306;no
Olfr1265;no
Ssxb10;no
Mageb5b;no
Ubl5b;no
Gm20817;no
Gm4301;no
Gm4301;no
Gm4301;no
Ccl21d;no
Gm20816;no
Fam205a4;no
Gm4301;no
Gm4301;no
Gm4301;no
Gm4301;no
Gm4301;no
Gm4301;no
Mageb2;no
Gm5901;no
Prr23a1;no
Ssxb10;no
Gm4301;no
Wasf1;no
H2-Ab1;no
H2-Eb2;no
Hsp90ab1;no
Hspa1b;no
Hspa1b;no
Ifna15;no
Ifna15;no
Iqcj;no
Izumo2;no
Krtap24-1;no
Krtap9-5;no
Mageb2;no
Mageb2;no
Mageb5b;no
Mbd3l1;no
Nutf2;no
Olfr1015;no
Olfr1013;no
Olfr1013;no
Olfr1020;no
Olfr1022;no
Olfr1022;no
Olfr1028;no
Olfr52;no
Olfr1046;no
Olfr1045;no
Olfr1047;no
Olfr1047;no
Olfr1093;no
Olfr141;no
Olfr1096;no
Olfr1096;no
Olfr11;no
Olfr141;no
Olfr1111;no
Olfr1116;no
Olfr1116;no
Olfr1132;no
Olfr1155;no
Olfr1157;no
Olfr74;no
Olfr1162;no
Olfr1162;no
Olfr1189;no
Olfr1195;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1211;no
Olfr1189;no
Olfr1211;no
Olfr125;no
Olfr1255;no
Olfr1256;no
Olfr1202;no
Olfr1260;no
Olfr32;no
Olfr32;no
Olfr1289;no
Olfr1303;no
Olfr1309;no
Olfr1325;no
Olfr19;no
Olfr19;no
Olfr1356;no
Olfr137;no
Olfr1393;no
Olfr1393;no
Olfr1393;no
Olfr1393;no
Olfr218;no
Olfr141;no
Olfr1416;no
Olfr32;no
Olfr1424;no
Olfr1431;no
Olfr1431;no
Olfr1445;no
Olfr145;no
Olfr1446;no
Olfr1446;no
Olfr1446;no
Olfr147;no
Olfr1490;no
Olfr1491;no
Olfr1496;no
Olfr1497;no
Olfr1499;no
Olfr1509;no
Olfr152;no
Olfr169;no
Olfr17;no
Olfr169;no
Olfr169;no
Olfr172;no
Olfr175;no
Olfr178;no
Olfr183;no
Olfr183;no
Olfr183;no
Olfr183;no
Olfr211;no
Olfr218;no
Olfr414;no
Olfr1431;no
Olfr1431;no
Olfr1369-ps1;no
Olfr272;no
Olfr273;no
Olfr275;no
Olfr307;no
Olfr307;no
Olfr320;no
Olfr320;no
Olfr351;no
Olfr354;no
Olfr357;no
Olfr417;no
Olfr444;no
Olfr444;no
Olfr447;no
Olfr449;no
Olfr453;no
Olfr469;no
Olfr469;no
Olfr469;no
Olfr469;no
Olfr469;no
Olfr469;no
Olfr469;no
Olfr469;no
Olfr469;no
Olfr657;no
Olfr480;no
Olfr512;no
Olfr512;no
Olfr520;no
Olfr568;no
Olfr566;no
Olfr569;no
Olfr620;no
Olfr620;no
Olfr640;no
Olfr641;no
Olfr646;no
Olfr648;no
Olfr65;no
Olfr657;no
Olfr659;no
Olfr671;no
Olfr671;no
Olfr69;no
Olfr683;no
Olfr688;no
Olfr691;no
Olfr692;no
Olfr693;no
Olfr693;no
Olfr693;no
Olfr693;no
Olfr713;no
Olfr715b;no
Olfr723;no
Olfr723;no
Olfr725;no
Olfr728;no
Olfr729;no
Olfr74;no
Olfr730;no
Olfr738;no
Olfr74;no
Olfr738;no
Olfr745;no
Olfr746;no
Olfr746;no
Olfr747;no
Olfr765;no
Olfr77;no
Olfr780;no
Olfr779;no
Olfr786;no
Olfr796;no
Olfr786;no
Olfr779;no
Olfr808;no
Olfr809;no
Olfr814;no
Olfr821;no
Olfr825;no
Olfr828;no
Olfr832;no
Olfr828;no
Olfr828;no
Olfr828;no
Olfr828;no
Olfr828;no
Olfr828;no
Olfr866;no
Olfr77;no
Olfr866;no
Olfr924;no
Olfr958;no
Olfr978;no
Olfr981;no
Olfr982;no
Olfr984;no
Patl2;no
Pdcl2;no
Pin4;no
Plac9a;no
Rps27;no
Scand1;no
Scp2d1;no
Gm20817;no
Spam1;no
Ssxb10;no
Ssxb10;no
Ssxb10;no
Sult2a2;no
Syce3;no
BC035947;no
Tas2r107;no
Tdpoz8;no
Tex28;no
Tgif2lx2;no
Tgif2lx2;no
Tmem254a;no
Trim69;no
Ubc;no
Wfdc11;no
Zc2hc1b;no
Fam189a2;no
Nt5m;no
Tmed3;no
Polr3k;no
Psmg4;no
Lcat;no
Gna11;no
Haus2;no
Arhgef39;no
Mvb12a;no
Apex2;no
Galnt2;no
Thrsp;no
