Gene.name;AIREdep
Tpsab1;yes
Fgf20;no
Slc22a1;yes
Cyb5r2;no
Col11a1;yes
St6galnac5;no
Sebox;yes
Rnf112;yes
Nmur1;yes
Tff1;yes
Zp1;yes
Naaladl1;yes
Lmx1a;yes
Ugt1a10;no
Cabp7;no
Rspo4;yes
Mixl1;yes
Klk10;yes
Igsf1;yes
Pcsk1n;no
Slc36a2;yes
Mroh9;no
Antxrl;no
Fbxw21;no
C1qtnf3;yes
Cxcr2;no
Mei1;no
Nlrp9c;no
Mlc1;yes
Sntn;no
Egfl6;no
Smpx;no
Npy2r;no
Prtn3;no
Fcrlb;yes
Klrd1;no
Hand1;yes
Serpinb3a;no
Inhbc;no
Gria2;no
Cdx4;no
Trim38;no
Calcoco2;yes
Tdrd12;yes
Ltf;yes
Asic4;yes
Spink6;no
Gpr50;yes
Asb18;no
Veph1;no
Lypd2;yes
Tacr3;no
Ocstamp;no
Ces1b;yes
Tktl1;no
Cela2a;yes
Apoa5;yes
Itih3;yes
Mbl2;yes
Kcna5;yes
Upk1b;yes
Mobp;no
Sfrp4;yes
Gldn;yes
En2;no
Esx1;no
Magel2;yes
Gabra1;yes
Tnni3k;no
Morn3;no
Padi3;yes
Slc38a8;yes
Slfn2;yes
Ccl2;yes
Grik1;no
Smyd1;yes
Plk5;yes
Avpr1b;no
Fam221b;no
Gfy;no
Asz1;yes
Pou5f1;yes
Trim55;no
Cel;yes
Dpys;yes
Npy;yes
Uroc1;yes
Gfral;no
Pax8;yes
Atp13a5;no
Dgkb;no
Ptgds;yes
Mmp27;no
Prrt4;yes
Bhlhe23;yes
Rln1;yes
Cacna1i;yes
Csta1;no
Bpifb1;yes
Kcnj16;yes
Cfc1;no
Hbq1b;no
Kcnv1;no
Gstm7;yes
Krt1;yes
Iqsec3;yes
Clec2l;yes
Actrt2;no
Piwil1;yes
Hmgb4;no
Trim58;yes
Padi1;yes
Qrfpr;no
Gpbar1;yes
Mgat4c;no
Foxi1;yes
Atp1a3;yes
Mdh1b;no
Prl;no
Sall3;no
Gabrq;no
Habp2;no
Wnt1;no
Cxcl17;no
Samd3;no
Scn10a;no
Ido2;yes
Rnase2b;yes
Retnlb;yes
Csta1;no
Podnl1;no
Ahrr;yes
Oas1e;yes
Olfr1444;no
Lrrc43;no
Slc26a3;yes
Gas2l2;yes
Clec4d;no
Hes2;yes
Pdx1;no
Hao1;yes
Piwil2;yes
Agr2;yes
Dmbt1;yes
Cldn19;yes
Ghrl;yes
Nlrp5;yes
6820408C15Rik;yes
Zg16;yes
Shh;no
4930433I11Rik;no
Fcgr4;no
Tdgf1;yes
Slc22a2;no
Olah;yes
Rnase2b;yes
Frmpd3;no
Kncn;no
St8sia3;no
Ly6g5c;no
Bpifa1;yes
Gabra5;yes
Chp2;yes
Tmem225;no
Ppp1r1c;no
Slc32a1;yes
Pnliprp2;yes
Slc6a3;yes
Ccna1;yes
Slc17a2;yes
Krtap15;no
Tpsg1;no
Prss37;yes
Fam216b;yes
Gsdmc;yes
Grm1;no
Cntn6;no
Loxhd1;yes
C9;no
Necab1;yes
Gad2;no
Wfdc3;yes
Map7d2;yes
Ctrb1;yes
Lhfpl4;yes
Apobec2;yes
Dmbx1;yes
Spata20;yes
Clcnka;yes
Serpinb3a;yes
Kcnmb3;yes
Agbl4;no
Skor2;no
Nefl;yes
Cyp3a13;yes
Susd5;yes
Fgf23;yes
Atp6v1b1;yes
Slc25a41;yes
Rad21l;no
Krtap3-3;yes
Slpi;yes
Selenbp2;yes
Myoz2;no
Cnga1;no
Dkk1;yes
B3gat1;yes
Hoxc12;no
Mageb18;no
Mpped1;yes
Krtap26-1;no
Gata5;yes
Drd3;no
Olfr1428;no
Cyp46a1;yes
Mmp8;yes
Hpx;yes
Lyzl1;no
Klrb1a;yes
Scgb3a1;yes
Brsk2;no
Zfp385c;no
Paqr6;no
Prok2;yes
Lhx4;no
4931406B18Rik;no
Slc18a3;no
Syt4;yes
Ppp1r36;no
Chrnb3;no
Hsd17b13;yes
Cela1;yes
Gatm;yes
Myh6;no
Ros1;yes
Slc5a12;yes
Comp;yes
Krt28;yes
Tecta;yes
Rpp25;no
Tcfl5;no
Edn3;yes
Etnk2;yes
Nr0b2;yes
Slc9b2;no
A2m;yes
Nell1;yes
Bex4;no
Etnppl;no
Ankrd34b;yes
Mesp1;yes
Gucy2f;no
Tuba3b;no
Cck;yes
Syndig1l;yes
Dclk3;yes
Tex36;no
Dnaaf1;no
Casp14;yes
Ifnk;no
Sult2a2;no
Pon1;no
Kcnk15;no
Vill;yes
Igfl3;yes
Onecut3;yes
Adra2c;no
Spink8;yes
Trpv1;no
Fbxo40;no
Krtap8-1;yes
Csta1;yes
Gjb5;yes
Nkx2-1;yes
Ccdc178;no
BC048671;no
Alb;yes
Zpld1;no
Fxyd4;yes
Agr3;yes
Npas1;yes
Cntn4;yes
Mael;no
Aspn;no
Sptssb;yes
Ces3a;yes
Cartpt;yes
Ddn;no
Csta1;no
Ffar3;yes
Fabp2;yes
Calcr;yes
Foxi3;no
Nobox;yes
Rhox13;no
Otud7a;no
Asb4;yes
Gabra6;no
L1td1;no
Slc6a13;yes
Gsx2;no
Mrgprg;yes
Cyp24a1;no
Acsbg2;no
BC051019;no
Rhd;yes
Mfap4;yes
Klk1b8;yes
Gfap;yes
Csrp3;yes
Rhox13;yes
Wfdc1;yes
Slc4a1;yes
Ppef1;yes
Erbb4;no
Fgf17;yes
Theg;yes
Spink2;yes
Ccl24;yes
Cdh12;no
Odam;yes
Hp;yes
Tat;yes
Fmr1nb;yes
Yipf7;no
Ccdc42;yes
Krt39;yes
Klk5;yes
Sstr5;yes
Cldn18;yes
Rspo2;yes
Krt72;yes
Kctd16;no
Lrtm2;yes
Klk13;yes
Klf14;yes
Gcgr;yes
Glra3;no
Gm5849;yes
Mb;yes
Nodal;yes
Topaz1;yes
Syce1;yes
Folr2;yes
Nutm2;no
Nrxn3;yes
Gjb1;yes
Nlrp12;yes
Tmprss6;yes
Olfr462;no
Pla2g12b;yes
Ankrd45;yes
Serpina3a;yes
Stmn4;yes
Sctr;no
Ugt8a;yes
Ccnb1ip1;yes
Prss56;yes
Gprc6a;yes
Kcnk18;no
Slurp1;yes
Glyat;yes
Iqcf1;no
Svopl;yes
Aoc1;yes
Ccdc154;yes
Olfr1491;no
Emx2;yes
Ifitm10;yes
Otx2;no
Agrp;yes
Gcnt3;yes
Foxb1;no
Tfap2e;yes
Gsdmc;yes
Ctag2l1;no
Grm6;yes
Hs3st4;yes
Gnrhr;no
Afp;yes
Nlrp4f;no
Krt84;yes
Fam110d;yes
Lhx3;yes
Bcan;yes
Ugt1a5;no
Flnc;yes
Lect2;no
Krt2;yes
Slc38a11;no
Wfdc12;yes
Cyp11a1;yes
Hapln4;yes
Slc7a9;yes
Slc30a3;no
Cst7;yes
Cdkl1;no
Ifit1bl1;yes
Them5;yes
Pde6h;yes
Serpina3a;yes
Tspan32;yes
Akap14;no
Cps1;yes
Ccl28;yes
Lrfn5;no
Glp1r;no
Bdh2;yes
Pomc;yes
Krt82;yes
Reg3b;yes
Fbp2;yes
Lgi1;no
Acoxl;yes
Camp;yes
Prrxl1;no
Actl6b;no
Prf1;yes
Mettl7a1;no
Kcnj9;yes
Serpinb9;yes
Tdpoz8;yes
Otop3;yes
Cplx3;yes
Gsto1;yes
Lmod3;yes
Slc22a14;yes
Spink13;no
Iapp;yes
Hoxd1;yes
Sytl4;yes
Ttpa;yes
Adam7;yes
Best2;yes
Ankar;no
Khdc1a;yes
F9;yes
Cntn3;no
Cpa1;no
Gsdmc;yes
Shisa8;yes
Tmem235;no
Serpinb6b;yes
Lgi3;yes
Slc8a3;yes
Mettl21c;no
Serpina5;yes
Angpt2;no
Csta1;yes
1110017D15Rik;yes
Nr5a1;yes
Lamp5;no
Slc13a3;yes
Lgals2;yes
Atp2c2;yes
Barhl1;yes
Irx2;yes
Nkg7;yes
Vtcn1;yes
Zic2;no
Bhmt2;no
Cplx4;no
Mtnr1a;yes
Pth2r;yes
Acox2;yes
Myo5c;yes
Mamdc2;yes
Slc34a1;yes
Pirt;no
Leap2;no
Khdc1a;no
Klk1b8;yes
Cckbr;yes
Tceal6;no
Cldn11;yes
Cd7;yes
Gabrr3;no
Trpv6;yes
Chodl;yes
Otop2;yes
Samd7;yes
Dlgap2;yes
Klrb1a;no
Nmbr;yes
Olfr558;no
Vnn1;yes
Gja3;yes
Higd1b;yes
Nt5c1a;no
Kcnv2;no
Ccdc177;no
Zfp42;no
Gzmk;no
C5ar1;yes
Nuggc;yes
L3mbtl4;yes
Cnga4;yes
Dydc1;no
Pnma5;yes
Phox2b;yes
Tm4sf4;yes
Hcrtr2;no
Krt40;no
Reg4;yes
